619	派	훌륭한 (りっぱな)
620	流	흘리다 (ながす)
621	浅	얕다 (あさい)
622	深	깊다 (ふかい)
623	済	경제 (けいざい)
624	減	減 (へる)
625	渡	건네주다 (わたす)
626	港	항구 (みなと)
627	湯	뜨거운 (おゆ)
628	準	준비 (じゅんび)
629	滑	미끄러지다 (すべる)
630	漫	만화 (まんが)
631	濡	젖다 (ぬれる)
632	濯	세탁 (せんたく)
633	点	점 (てん)
634	無	없애다 (なくす)
635	然	전혀 (ぜんぜん)
636	焼	굽다 (やく)
637	熱	열 (ねつ)
638	爪	손톱 (つめ)
639	片	치우다 (かたづける)
640	玄	현관 (げんかん)
641	珍	드물다 (めずらしい)
642	由	자유 (じゆう)
643	申	의 (もうす)
644	畳	다다미 (たたみ)
645	疲	지치다 (つかれる)
646	盗	훔치다 (ぬすむ)
647	盛	성행한 (さかんな)
648	直	고치다 (なおす)
649	相	상 (そう)
650	眠	졸리다 (ねむい)
651	石	돌 (いし)
652	確	확실한 (たしかな)
653	礼	예 (れい)
654	祈	빌다 (いのる)
655	祖	祖 (そふ)
656	祝	축하하다 (いわう)
657	神	신 (かみ)
658	祭	축제 (おまつり)
659	秒	초 (びょう)
660	程	정도 (ほど)
661	積	쌓이다 (つもる)
662	章	문장 (ぶんしょう)
663	竹	대나무 (たけ)
664	笑	웃다 (わらう)
665	等	등 (など)
666	筒	통 (つつ)
667	算	산수 (さんすう)
668	箱	상자 (はこ)
669	簡	간단한 (かんたんな)
670	糸	실 (いと)
671	約	약 (やく)
672	素	만물이 (もと)
673	紹	소개 (しょうかい)
674	組	조 (くみ)
675	経	경험 (けいけん)
676	絡	연락 (れんらく)
677	続	계속되다 (つづく)
678	線	선 (せん)
679	練	연습 (れんしゅう)
680	縦	세로 (たて)
681	美	아름답다 (うつくしい)
682	義	강의 (こうぎ)
683	羽	날개 (はね)
684	老	노인 (ろうじん)
685	肩	어깨 (かた)
686	育	키우다 (そだてる)
687	脱	벗다 (ぬぐ)
688	腕	팔 (うで)
689	致	의 (いたす)
690	興	흥미 (きょうみ)
691	舌	혀 (した)
692	舎	시골 (いなか)
693	船	배 (ふね)
694	若	젊다 (わかい)
695	苦	고생 (く)
696	草	풀 (くさ)
697	荷	짐 (に)
698	萄	포도 (ぶどう)
699	落	떨어지다 (おちる)
700	葡	포도 (ぶどう)
701	蔵	냉장고 (れいぞうこ)
702	薄	얇다 (うすい)
703	虫	벌레 (むし)
704	血	피 (ち)
705	術	기술 (ぎじゅつ)
706	表	표면 (おもて)
707	袋	자루 (ふくろ)
708	裏	뒷면 (うら)
709	製	제 (せい)
710	複	복잡한 (ふくざつな)
711	規	규칙 (きそく)
712	覧	의 (ごらんになる)
713	観	관광 (かんこう)
714	触	만지다 (さわる)
715	記	기자 (きしゃ)
716	訪	찾아가다 (たずねる)
717	訳	뜻 (わけ)
718	調	알아보다 (しらべる)
719	談	상담 (そうだん)
720	論	물론 (もちろん)
721	講	강의 (こうぎ)
722	謝	사과하다 (あやまる)
723	警	경찰 (けいさつ)
724	議	회의 (かいぎ)
725	負	지다 (まける)
726	貿	무역 (ぼうえき)
727	賛	찬성 (さんせい)
728	贈	선물 (おくりもの)
729	越	이사하다 (ひっこす)
730	趣	재미 (おもむき)
731	踊	춤 (おどり)
732	踏	밟다 (ふむ)
733	軒	처마 (のき)
734	輪	고리 (わ)
735	輸	수출 (ゆしゅつ)
736	辺	근처 (へん)
737	込	혼잡하다 (こむ)
738	迎	맞이하다 (むかえる)
739	退	퇴원 (たいいん)
740	逃	도망치다 (にげる)
741	途	도중 (とちゅう)
742	連	데리고 (つれていく)
743	過	지나다 (すぎる)
744	違	다르다 (ちがう)
745	選	고르다 (えらぶ)
746	郊	교외 (こうがい)
747	配	걱정 (しんぱい)
748	酔	취함 (よい)
749	醬	간장 (しょうゆ)
750	釣	낚다 (つる)
751	関	관계 (かんけい)
752	除	청소 (そうじ)
753	険	위험한 (きけんな)
754	際	때 (さい)
755	障	고장 (こしょう)
756	雲	구름 (くも)
757	零	영 (れい)
758	震	지진 (じしん)
759	非	꼭 (ぜひ)
760	面	면 (めん)
761	頂	정상 (いただき)
762	頑	열심히 (がんばる)
763	頼	부탁하다 (たのむ)
764	願	원하다 (ねがう)
765	飴	엿 (あめ)
766	飼	飼 (かう)
767	飾	꾸밈 (かざり)
768	馳	손님을 (ごちそう)
769	駐	주차 (ちゅうしゃ)
770	騒	떠들다 (さわぐ)
771	驚	놀라다 (おどろく)
772	骨	뼈 (ほね)
773	髪	머리카락 (かみ)
774	魔	남의 (おじゃまします)
775	鳴	鳴 (なく)
